fips,year,dom,zhvi,sales,dailylistings,monthlylistings,saletolist,zori
01001,1997,,107441.666666667,,,,,
01001,1998,,110558.333333333,,,,,
01001,1999,,111250,,,,,
01001,2000,,115125,,,,,
01001,2001,,119158.333333333,,,,,
01001,2002,,118983.333333333,,,,,
01001,2003,,122391.666666667,,,,,
01001,2004,,128516.666666667,,,,,
01001,2005,,133633.333333333,,,,,
01001,2006,,150683.333333333,,,,,
01001,2007,,165866.666666667,,,,,
01001,2008,,145258.333333333,,,,,
01001,2009,,144341.666666667,,,,,
01001,2010,,142366.666666667,,,,,
01001,2011,,136208.333333333,,,,,
01001,2012,,133766.666666667,,,,,
01001,2013,,133691.666666667,,274.333333333333,326.916666666667,,
01001,2014,,139225,,265.416666666667,317.25,,
01001,2015,,136991.666666667,,331.5,399.916666666667,,
01001,2016,,138950,,317.083333333333,389.5,0.953889446454303,
01001,2017,,143333.333333333,,252.916666666667,312.5,0.967421254523366,
01001,2018,,153058.333333333,,321.833333333333,392.5,0.970583903121585,
01003,1997,,94350,,,,,
01003,1998,,102433.333333333,,,,,
01003,1999,,112983.333333333,,,,,
01003,2000,,128941.666666667,,,,,
01003,2001,,127216.666666667,,,,,
01003,2002,,141233.333333333,,,,,
01003,2003,,132908.333333333,,,,,
01003,2004,,145566.666666667,,,,,
01003,2005,,168383.333333333,,,,,
01003,2006,,198041.666666667,,,,,
01003,2007,,201916.666666667,,,,,
01003,2008,,189783.333333333,,,,,
01003,2009,,170208.333333333,3379,,,,
01003,2010,169.416666666667,157800,3032,,,,
01003,2011,139.25,148683.333333333,3217,,,,
01003,2012,137.583333333333,153800,3858,,,0.91815235539297,
01003,2013,131.166666666667,156766.666666667,4505,2985.16666666667,3483.41666666667,0.931196262009192,
01003,2014,128.416666666667,163416.666666667,4704,2894.08333333333,3372.83333333333,0.933811166001155,
01003,2015,118.833333333333,172216.666666667,4949,2863.41666666667,3404.5,0.94100978578606,
01003,2016,120.125,179191.666666667,5359,2742.66666666667,3283.08333333333,0.946816313845211,
01003,2017,107.75,179808.333333333,5072,2665.66666666667,3438.83333333333,0.957547234224423,
01003,2018,97.875,198508.333333333,5559,2297.25,2805.08333333333,0.960441500661483,
01005,2013,,,,165.916666666667,192.25,,
01005,2014,,,,177.166666666667,197.166666666667,,
01005,2015,,,,179.083333333333,200.083333333333,,
01005,2016,,,,169.25,189.083333333333,,
01005,2017,,,,158.416666666667,178.75,,
01005,2018,,,,157.416666666667,175.833333333333,,
01007,2009,,,93,,,,
01007,2010,,,148,,,,
01007,2011,,,79,,,,
01007,2012,,,46,,,,
01007,2013,,,34,34.1666666666667,40,,
01007,2014,,,44,29.25,34.6666666666667,,
01007,2015,,,68,41.4166666666667,50.5,,
01007,2016,,,58,54,62.6666666666667,,
01007,2017,,,63,52.0833333333333,60.9166666666667,,
01007,2018,,,63,36.4166666666667,44.5833333333333,,
01009,1997,,70391.6666666667,,,,,
01009,1998,,84300,,,,,
01009,1999,,92058.3333333333,,,,,
01009,2000,,94000,,,,,
01009,2001,,99300,,,,,
01009,2002,,102700,,,,,
01009,2003,,105533.333333333,,,,,
01009,2004,,109033.333333333,,,,,
01009,2005,,119783.333333333,,,,,
01009,2006,,128083.333333333,,,,,
01009,2007,,133525,,,,,
01009,2008,,130791.666666667,,,,,
01009,2009,,128533.333333333,316,,,,
01009,2010,,110083.333333333,382,,,,
01009,2011,,110466.666666667,380,,,,
01009,2012,,119991.666666667,496,,,,
01009,2013,,118716.666666667,446,178.916666666667,211.583333333333,,
01009,2014,,119150,632,193.083333333333,230.916666666667,,
01009,2015,,122291.666666667,388,240.583333333333,286.416666666667,,
01009,2016,,127150,704,241.416666666667,285.916666666667,,
01009,2017,,131541.666666667,721,220.416666666667,268,,
01009,2018,,135925,633,205.833333333333,255.916666666667,,
01011,2009,,,0,,,,
01011,2010,,,0,,,,
01011,2011,,,0,,,,
01011,2012,,,4,,,,
01011,2013,,,17,,,,
01011,2014,,,1,,,,
01011,2015,,,2,,,,
01011,2016,,,0,,,,
01011,2017,,,3,,,,
01011,2018,,,,,,,
01013,2009,,,96,,,,
01013,2010,,,94,,,,
01013,2011,,,21,,,,
01013,2012,,,21,,,,
01013,2013,,,51,,85.8333333333333,,
01013,2014,,,87,,86.3333333333333,,
01013,2015,,,81,,98.4166666666667,,
01013,2016,,,111,,90.3333333333333,,
01013,2017,,,32,,79.5,,
01013,2018,,,,,80,,
01015,2010,,,,,,,
01015,2011,,,,,,,
01015,2012,,,,,,,
01015,2013,,,,904.333333333333,1038.83333333333,,
01015,2014,,,,791,913.333333333333,,
01015,2015,136.291666666667,,,803.25,929.5,0.91416163509345,
01015,2016,140.666666666667,,,712.5,826.416666666667,0.928905140195288,
01015,2017,119.75,,,551.666666666667,654.666666666667,0.935732377556966,
01015,2018,95.6666666666667,,,509.25,611.333333333333,0.953865459852175,
01017,2009,,,80,,,,
01017,2010,,,77,,,,
01017,2011,,,48,,,,
01017,2012,,,155,,,,
01017,2013,,,252,154.083333333333,184.583333333333,,
01017,2014,,,240,162.25,187.916666666667,,
01017,2015,,,313,166.583333333333,197.333333333333,,
01017,2016,,,355,160.333333333333,189.75,,
01017,2017,,,354,125.333333333333,150.416666666667,,
01017,2018,,,311,137.833333333333,161.583333333333,,
01019,1997,,57166.6666666667,,,,,
01019,1998,,65075,,,,,
01019,1999,,67283.3333333333,,,,,
01019,2000,,71141.6666666667,,,,,
