fips,year,dom,zhvi,sales,dailylistings,monthlylistings,saletolist,zori
01019,2001,,75341.6666666667,,,,,
01019,2002,,77825,,,,,
01019,2003,,79550,,,,,
01019,2004,,81883.3333333333,,,,,
01019,2005,,84075,,,,,
01019,2006,,87216.6666666667,,,,,
01019,2007,,96775,,,,,
01019,2008,,102583.333333333,,,,,
01019,2009,,96250,121,,,,
01019,2010,,94366.6666666667,126,,,,
01019,2011,,89591.6666666667,109,,,,
01019,2012,,82991.6666666667,189,,,,
01019,2013,,83083.3333333333,247,,,,
01019,2014,,89591.6666666667,226,,,,
01019,2015,,95650,249,,,,
01019,2016,,97166.6666666667,234,,,,
01019,2017,,104000,271,,,,
01019,2018,,107858.333333333,294,,,,
01021,1997,,81975,,,,,
01021,1998,,84183.3333333333,,,,,
01021,1999,,87950,,,,,
01021,2000,,90741.6666666667,,,,,
01021,2001,,92425,,,,,
01021,2002,,93691.6666666667,,,,,
01021,2003,,98908.3333333333,,,,,
01021,2004,,100375,,,,,
01021,2005,,88366.6666666667,,,,,
01021,2006,,80625,,,,,
01021,2007,,88425,,,,,
01021,2008,,97033.3333333333,,,,,
01021,2009,,98808.3333333333,214,,,,
01021,2010,,92766.6666666667,212,,,,
01021,2011,,92891.6666666667,208,,,,
01021,2012,,96733.3333333333,314,,,,
01021,2013,,103141.666666667,352,145.583333333333,168.75,,
01021,2014,,102283.333333333,344,144.25,169.166666666667,,
01021,2015,,103658.333333333,282,190.083333333333,225.833333333333,,
01021,2016,,106008.333333333,402,231.666666666667,267.75,,
01021,2017,,112758.333333333,494,238.166666666667,275.166666666667,0.935636590895647,
01021,2018,,115741.666666667,529,193.166666666667,227.916666666667,0.952390690641254,
01023,2009,,,32,,,,
01023,2010,,,58,,,,
01023,2011,,,32,,,,
01023,2012,,,38,,,,
01023,2013,,,45,,,,
01023,2014,,,58,,,,
01023,2015,,,40,,,,
01023,2016,,,36,,,,
01023,2017,,,4,,,,
01023,2018,,,0,,,,
01027,2009,,,0,,,,
01027,2010,,,1,,,,
01027,2011,,,0,,,,
01027,2012,,,38,,,,
01027,2013,,,64,,42,,
01027,2014,,,21,,67.1666666666667,,
01027,2015,,,18,57.25,66.5833333333333,,
01027,2016,,,21,51.75,58.75,,
01027,2017,,,30,53.4166666666667,60.9166666666667,,
01027,2018,,,,52.6666666666667,59.8333333333333,,
01029,2009,,,37,,,,
01029,2010,,,50,,,,
01029,2011,,,1,,,,
01029,2012,,,51,,,,
01029,2013,,,50,44.4166666666667,50.9166666666667,,
01029,2014,,,63,44.5,51.25,,
01029,2015,,,52,49.9166666666667,57.3333333333333,,
01029,2016,,,53,45,53.3333333333333,,
01029,2017,,,47,30,36.6666666666667,,
01029,2018,,,39,33,40.0833333333333,,
01031,1997,,83191.6666666667,,,,,
01031,1998,,78391.6666666667,,,,,
01031,1999,,79166.6666666667,,,,,
01031,2000,,80216.6666666667,,,,,
01031,2001,,83325,,,,,
01031,2002,,85458.3333333333,,,,,
01031,2003,,87508.3333333333,,,,,
01031,2004,,90675,,,,,
01031,2005,,96041.6666666667,,,,,
01031,2006,,102833.333333333,,,,,
01031,2007,,110533.333333333,,,,,
01031,2008,,111683.333333333,,,,,
01031,2009,,119516.666666667,42,,,,
01031,2010,,112941.666666667,56,,,,
01031,2011,,108283.333333333,32,,,,
01031,2012,,119341.666666667,180,,,,
01031,2013,,108958.333333333,356,560.75,674.666666666667,,
01031,2014,,103133.333333333,495,501.916666666667,580.5,,
01031,2015,,103508.333333333,587,499.833333333333,579.75,,
01031,2016,,104725,409,417.666666666667,489.166666666667,,
01031,2017,,107558.333333333,736,376.833333333333,447.25,,
01031,2018,,113208.333333333,,366.583333333333,437.5,,
01033,1997,,43166.6666666667,,,,,
01033,1998,,38958.3333333333,,,,,
01033,1999,,39550,,,,,
01033,2000,,45375,,,,,
01033,2001,,52875,,,,,
01033,2002,,60750,,,,,
01033,2003,,73991.6666666667,,,,,
01033,2004,,80858.3333333333,,,,,
01033,2005,,86950,,,,,
01033,2006,,94041.6666666667,,,,,
01033,2007,,96708.3333333333,,,,,
01033,2008,,92791.6666666667,,,,,
01033,2009,,90725,485,,,,
01033,2010,,83266.6666666667,500,,,,
01033,2011,,86550,488,,,,
01033,2012,,87150,572,,,,
01033,2013,,86408.3333333333,749,296.583333333333,349.833333333333,,
01033,2014,,84983.3333333333,808,355.75,414.166666666667,,
01033,2015,,88283.3333333333,892,335.916666666667,394.833333333333,,
01033,2016,,90825,955,348.916666666667,413.583333333333,0.930963268967363,
01033,2017,,94541.6666666667,1016,366.583333333333,443,0.945792213808916,
01033,2018,,95975,1023,371.166666666667,443.416666666667,0.945571816867849,
01035,2009,,,35,,,,
01035,2010,,,61,,,,
01035,2011,,,34,,,,
01035,2012,,,7,,,,
01035,2013,,,6,16.3333333333333,19.6666666666667,,
01035,2014,,,19,15.75,18.4166666666667,,
01035,2015,,,19,24.6666666666667,28.5833333333333,,
01035,2016,,,10,29.6666666666667,34.3333333333333,,
01035,2017,,,10,24.75,29.9166666666667,,
01035,2018,,,9,31,35.6666666666667,,
01037,2009,,,23,,,,
01037,2010,,,37,,,,
01037,2011,,,37,,,,
01037,2012,,,24,,,,
01037,2013,,,5,30.4166666666667,34.4166666666667,,
01037,2014,,,24,29.1666666666667,34.4166666666667,,
01037,2015,,,14,35.8333333333333,42.5,,
01037,2016,,,20,45,52,,
01037,2017,,,59,44.3333333333333,51.4166666666667,,
01037,2018,,,54,42.8333333333333,49.5833333333333,,
01039,2013,,,,225.916666666667,266.583333333333,,
01039,2014,,,,231.416666666667,262.666666666667,,
01039,2015,,,,266.416666666667,306.75,,
01039,2016,,,,308.833333333333,349.25,,
01039,2017,,,,285.25,320,,
01039,2018,,,,265,306.416666666667,,
01041,2009,,,51,,,,
01041,2010,,,59,,,,
01041,2011,,,50,,,,
01041,2012,,,7,,,,
01041,2013,,,44,23.9166666666667,27.9166666666667,,
01041,2014,,,67,22.5833333333333,26.0833333333333,,
01041,2015,,,63,29,35.5,,
01041,2016,,,50,34,39.3333333333333,,
01041,2017,,,30,42,47.5,,
01041,2018,,,,47.5,53.6666666666667,,
01043,2009,,,,,,,
01043,2010,,,,,,,
01043,2011,,,469,,,,
01043,2012,,,456,,,,
01043,2013,,,486,552.916666666667,634,0.917965019151426,
01043,2014,,,529,565.833333333333,647.5,0.925835879434342,
01043,2015,,,617,390.25,474.083333333333,0.924065865291338,
01043,2016,,,625,347.25,408.5,0.939613480635481,
01043,2017,,,705,417.166666666667,486,0.943822756744337,
01043,2018,,,607,478.75,562.5,0.94436006380063,
01045,2013,,,,271.583333333333,325.083333333333,,
01045,2014,,,,252,296.25,,
01045,2015,,,,260.916666666667,304.916666666667,,
01045,2016,,,,248,293,,
01045,2017,,,,225.166666666667,268.916666666667,,
01045,2018,,,,249.25,291.75,,
01049,1997,,56683.3333333333,,,,,
01049,1998,,59508.3333333333,,,,,
01049,1999,,64316.6666666667,,,,,
01049,2000,,67250,,,,,
01049,2001,,70041.6666666667,,,,,
01049,2002,,71625,,,,,
01049,2003,,73725,,,,,
01049,2004,,75625,,,,,
01049,2005,,74300,,,,,
01049,2006,,90616.6666666667,,,,,
01049,2007,,93241.6666666667,,,,,
01049,2008,,91391.6666666667,,,,,
01049,2009,,89375,,,,,
01049,2010,,85900,,,,,
01049,2011,,86300,,,,,
01049,2012,,83525,,,,,
01049,2013,,80050,,371.416666666667,436.333333333333,,
01049,2014,,80550,,362.833333333333,411.833333333333,,
01049,2015,,81991.6666666667,,377.25,433.833333333333,,
01049,2016,,86016.6666666667,,352.25,408.916666666667,,
01049,2017,,90041.6666666667,,333.166666666667,383.083333333333,,
01049,2018,,93033.3333333333,,265.916666666667,316.416666666667,,
01051,1997,,106975,,,,,
01051,1998,,114058.333333333,,,,,
01051,1999,,116125,,,,,
01051,2000,,121291.666666667,,,,,
01051,2001,,126058.333333333,,,,,
01051,2002,,148950,,,,,
01051,2003,,137016.666666667,,,,,
01051,2004,,136883.333333333,,,,,
01051,2005,,159050,,,,,
01051,2006,,186758.333333333,,,,,
01051,2007,,185708.333333333,,,,,
01051,2008,,185091.666666667,,,,,
01051,2009,,170616.666666667,,,,,
01051,2010,,175791.666666667,,,,,
01051,2011,,168150,,,,,
01051,2012,,163050,,,,,
01051,2013,,163575,,527.833333333333,624.666666666667,,
01051,2014,,152091.666666667,,601.166666666667,699.5,0.927242608723401,
01051,2015,,152333.333333333,,704.916666666667,825.083333333333,0.930702847736334,
01051,2016,,150641.666666667,,698.333333333333,816.166666666667,0.947338875000993,
01051,2017,,152858.333333333,,556.416666666667,663,0.94985016332841,
01051,2018,94.8333333333333,157766.666666667,,528,626.333333333333,0.960181703617575,
01053,2013,,,,180.833333333333,204.5,,
01053,2014,,,,185.666666666667,208.75,,
01053,2015,,,,203.5,227.333333333333,,
01053,2016,,,,196.833333333333,222,,
01053,2017,,,,162.833333333333,185.75,,
01053,2018,,,,146.5,169.416666666667,,
01055,1997,,61233.3333333333,,,,,
01055,1998,,64750,,,,,
01055,1999,,61183.3333333333,,,,,
01055,2000,,65616.6666666667,,,,,
01055,2001,,73583.3333333333,,,,,
01055,2002,,75483.3333333333,,,,,
01055,2003,,79608.3333333333,,,,,
01055,2004,,81975,,,,,
01055,2005,,87016.6666666667,,,,,
01055,2006,,100866.666666667,,,,,
01055,2007,,97491.6666666667,,,,,
01055,2008,,103283.333333333,,,,,
01055,2009,,96266.6666666667,,,,,
01055,2010,,92750,,,,,
01055,2011,,83425,,,,,
01055,2012,,84475,,,,,
01055,2013,,83475,,690.166666666667,794.083333333333,,
01055,2014,,83783.3333333333,,635.916666666667,728.75,,
01055,2015,,84691.6666666667,,788.5,891.833333333334,,
01055,2016,,85991.6666666667,,710.583333333333,812.166666666667,0.91110071360367,
01055,2017,,90683.3333333333,,597.833333333333,691.416666666667,0.915219450883592,
01055,2018,,99058.3333333333,1422,527.25,622.416666666667,0.931380253434611,
01057,2009,,,84,,,,
01057,2010,,,92,,,,
01057,2011,,,84,,,,
01057,2012,,,87,,,,
01057,2013,,,106,,,,
01057,2014,,,114,,,,
01057,2015,,,148,,,,
01057,2016,,,148,,,,
01057,2017,,,52,,,,
01057,2018,,,48,,,,
01059,2013,,,,,130.916666666667,,
01059,2014,,,,,149.416666666667,,
01059,2015,,,,139.166666666667,162.666666666667,,
01059,2016,,,,137,160.833333333333,,
01059,2017,,,,130.25,150.166666666667,,
01059,2018,,,,110.666666666667,126.916666666667,,
01061,2009,,,25,,,,
01061,2010,,,39,,,,
01061,2011,,,10,,,,
01061,2012,,,23,,,,
01061,2013,,,64,144,171.25,,
01061,2014,,,150,122.416666666667,140.833333333333,,
01061,2015,,,89,109.25,127.666666666667,,
01061,2016,,,77,113.333333333333,129.5,,
01061,2017,,,212,108.25,126,,
01061,2018,,,,97.75,113.666666666667,,
01063,1997,,47675,,,,,
01063,1998,,48483.3333333333,,,,,
01063,1999,,50775,,,,,
01063,2000,,53508.3333333333,,,,,
01063,2001,,55416.6666666667,,,,,
01063,2002,,56558.3333333333,,,,,
01063,2003,,54458.3333333333,,,,,
01063,2004,,54191.6666666667,,,,,
01063,2005,,52558.3333333333,,,,,
01063,2006,,53016.6666666667,,,,,
01063,2007,,55583.3333333333,,,,,
01063,2008,,63158.3333333333,,,,,
01063,2009,,61150,36,,,,
01063,2010,,57366.6666666667,18,,,,
01063,2011,,54366.6666666667,4,,,,
01063,2012,,54083.3333333333,8,,,,
01063,2013,,54600,7,,,,
01063,2014,,59000,5,,,,
01063,2015,,68916.6666666667,13,,,,
01063,2016,,61325,7,,,,
01063,2017,,66066.6666666667,4,,,,
01063,2018,,85175,7,,,,
01065,2009,,,19,,,,
01065,2010,,,12,,,,
01065,2011,,,22,,,,
01065,2012,,,22,,,,
01065,2013,,,25,,25.1666666666667,,
01065,2014,,,27,,18.6666666666667,,
01065,2015,,,44,,21.75,,
01065,2016,,,43,,34.75,,
01065,2017,,,32,,40.75,,
01065,2018,,,,,39.9166666666667,,
01067,2009,,,116,,,,
01067,2010,,,132,,,,
01067,2011,,,87,,,,
01067,2012,,,88,,,,
01067,2013,,,35,156.416666666667,182.666666666667,,
01067,2014,,,72,164.833333333333,188.5,,
01067,2015,,,29,180.75,205.083333333333,,
01067,2016,,,40,172.833333333333,198.833333333333,,
01067,2017,,,184,167.75,190,,
01067,2018,,,,160.083333333333,181.25,,
01069,1997,,86125,,,,,
01069,1998,,80958.3333333333,,,,,
01069,1999,,83641.6666666667,,,,,
01069,2000,,85175,,,,,
01069,2001,,88658.3333333333,,,,,
01069,2002,,89950,,,,,
01069,2003,,97825,,,,,
01069,2004,,105608.333333333,,,,,
01069,2005,,111925,,,,,
01069,2006,,128600,,,,,
01069,2007,,142591.666666667,,,,,
01069,2008,,143083.333333333,,,,,
01069,2009,,142508.333333333,,,,,
01069,2010,,130708.333333333,,,,,
01069,2011,,118625,,,,,
01069,2012,,120166.666666667,,,,,
01069,2013,,120908.333333333,,846.75,984.833333333333,,
01069,2014,,120041.666666667,,779.666666666667,907.5,0.921233489322179,
01069,2015,,122850,,841.25,970.416666666667,0.922316406256604,
01069,2016,,125200,810,753.75,885.333333333333,0.93300503318267,
01069,2017,,127425,1397,716.666666666667,842.583333333333,0.942144773709412,
01069,2018,119.791666666667,131008.333333333,1582,720.5,851.583333333333,0.94766597032628,
01071,2013,,,,227.833333333333,269.25,,
01071,2014,,,,241.166666666667,278.416666666667,,
01071,2015,,,,263.666666666667,305.083333333333,,
01071,2016,,,,267.666666666667,303.833333333333,,
01071,2017,,,,238.916666666667,273.75,,
01071,2018,,,,239.416666666667,283.5,,
01073,1997,,78216.6666666667,,,,,
01073,1998,,83025,,,,,
01073,1999,,86516.6666666667,,,,,
01073,2000,,89475,,,,,
01073,2001,,91891.6666666667,,,,,
01073,2002,,95650,,,,,
01073,2003,,100266.666666667,,,,,
01073,2004,,107516.666666667,,,,,
01073,2005,,115783.333333333,,,,,
01073,2006,,121016.666666667,,,,,
01073,2007,,122016.666666667,,,,,
01073,2008,,117816.666666667,,,,,
01073,2009,,111100,,,,,
01073,2010,147.916666666667,107250,,,,0.892275071466118,
01073,2011,137.083333333333,98583.3333333333,,,,0.893934395546039,
01073,2012,126.625,93333.3333333333,,,,0.911312199238528,
01073,2013,126.75,92783.3333333333,,3539.83333333333,4234.41666666667,0.93127789196644,
01073,2014,122.625,94700,11288,3275.33333333333,3988.75,0.934833882285744,987.773050785637
01073,2015,111.208333333333,98608.3333333333,12334,3336.5,4127,0.94678993785801,1013.55053612599
01073,2016,97.5833333333333,102041.666666667,13794,3264.5,4051.91666666667,0.954582604629213,1069.98019716
01073,2017,93.8333333333333,103608.333333333,14744,3128.58333333333,3917.91666666667,0.959515275113476,1095.87844609607
01073,2018,82.875,114225,14881,2567.41666666667,3323.58333333333,0.967235130542292,1133.54050865319
01073,2019,,,,,,,1164.89301738858
01075,2009,,,28,,,,
01075,2010,,,24,,,,
01075,2011,,,38,,,,
01075,2012,,,40,,,,
01075,2013,,,52,,,,
01075,2014,,,38,,,,
01075,2015,,,36,,,,
01075,2016,,,60,,,,
01075,2017,,,23,,,,
01075,2018,,,,22.9166666666667,,,
01077,1997,,48475,,,,,
01077,1998,,42333.3333333333,,,,,
01077,1999,,49391.6666666667,,,,,
01077,2000,,71400,,,,,
01077,2001,,86700,,,,,
01077,2002,,84383.3333333333,,,,,
01077,2003,,98925,,,,,
01077,2004,,107125,,,,,
01077,2005,,94633.3333333333,,,,,
01077,2006,,106658.333333333,,,,,
01077,2007,,90383.3333333333,,,,,
01077,2008,,96033.3333333333,,,,,
01077,2009,,102058.333333333,,,,,
01077,2010,,100958.333333333,,,,,
01077,2011,,97133.3333333333,905,,,,
01077,2012,,96233.3333333333,999,,,,
01077,2013,,93775,1170,405.25,493.916666666667,,
01077,2014,,98800,1366,451.583333333333,537.833333333333,0.934419762460594,
01077,2015,,106483.333333333,1564,428.416666666667,515.5,0.93768114370246,
01077,2016,,102075,1611,423.5,512.833333333333,0.94111426773985,
01077,2017,108.25,108133.333333333,1671,448.416666666667,548.5,0.94601375802724,
01077,2018,104.583333333333,112525,,472.25,567.75,0.9452433609691,
01079,2009,,,104,,,,
01079,2010,,,113,,,,
01079,2011,,,142,,,,
01079,2012,,,139,,,,
01079,2013,,,145,132.166666666667,157.583333333333,,
01079,2014,,,216,124.166666666667,147.083333333333,,
01079,2015,,,247,113.583333333333,132.75,,
01079,2016,,,210,109.583333333333,129.25,,
01079,2017,,,125,108,130.5,,
01079,2018,,,85,84.9166666666667,103.416666666667,,
01081,1997,,94950,,,,,
01081,1998,,96683.3333333333,,,,,
01081,1999,,110608.333333333,,,,,
01081,2000,,115150,,,,,
01081,2001,,125375,,,,,
01081,2002,,133491.666666667,,,,,
01081,2003,,139775,,,,,
01081,2004,,142316.666666667,,,,,
01081,2005,,158866.666666667,,,,,
01081,2006,,169608.333333333,,,,,
01081,2007,,173775,,,,,
01081,2008,,176750,,,,,
01081,2009,,171433.333333333,,,,,
01081,2010,,163475,,,,,
01081,2011,,162191.666666667,,,,,
01081,2012,,159691.666666667,,,,,
01081,2013,,157716.666666667,,1173.83333333333,1391.66666666667,,
01081,2014,,159725,,1084,1273.41666666667,,
01081,2015,,164325,,947.583333333333,1157.5,,
01081,2016,,169525,,852,1052.58333333333,0.968736758894045,
01081,2017,85.1666666666667,177958.333333333,,785,983.333333333333,0.977644323386085,
01081,2018,68.4583333333333,184158.333333333,,807.166666666667,1019.83333333333,0.980073593093936,
01083,1997,,96925,,,,,
01083,1998,,101183.333333333,,,,,
01083,1999,,102608.333333333,,,,,
01083,2000,,93258.3333333333,,,,,
01083,2001,,101700,,,,,
01083,2002,,76691.6666666667,,,,,
01083,2003,,86375,,,,,
01083,2004,,88983.3333333333,,,,,
01083,2005,,122741.666666667,,,,,
01083,2006,,130250,,,,,
01083,2007,,144000,,,,,
01083,2008,,140525,,,,,
01083,2009,,135608.333333333,,,,,
01083,2010,,142833.333333333,,,,,
01083,2011,,134308.333333333,,,,,
01083,2012,,134216.666666667,,,,,
01083,2013,,134791.666666667,,895.916666666667,1065.75,,
01083,2014,,134925,,773.833333333333,898.75,,
01083,2015,,134583.333333333,1337,848.833333333333,984.833333333333,,
01083,2016,,141850,1878,778.5,924.5,,
01083,2017,,143441.666666667,1802,696.583333333333,847.583333333333,0.968798727098703,
01083,2018,87.1666666666667,151166.666666667,,517,649.083333333333,0.97627894597015,
01085,2009,,,33,,,,
01085,2010,,,25,,,,
01085,2011,,,23,,,,
01085,2012,,,7,,,,
01085,2013,,,18,,,,
01085,2014,,,30,,,,
01085,2015,,,17,,34.3333333333333,,
01085,2016,,,29,33.75,38.1666666666667,,
01085,2017,,,17,35.9166666666667,40.5,,
01085,2018,,,,35.5,40.1666666666667,,
01087,2009,,,4,,,,
01087,2010,,,2,,,,
01087,2011,,,1,,,,
01087,2012,,,3,,,,
01087,2013,,,16,35.9166666666667,42.75,,
01087,2014,,,13,34.9166666666667,40.4166666666667,,
01087,2015,,,6,44.9166666666667,52.5833333333333,,
01087,2016,,,10,49.4166666666667,57.0833333333333,,
01087,2017,,,9,43.25,49.25,,
01087,2018,,,2,42.5833333333333,49.3333333333333,,
01089,1997,,,,,,,
01089,1998,,,,,,,
01089,1999,,,,,,,
01089,2000,,,,,,,
01089,2001,,,,,,,
01089,2002,,,,,,,
01089,2003,,,,,,,
01089,2004,,,,,,,
01089,2005,,,,,,,
01089,2006,,,,,,,
01089,2007,,,,,,,
01089,2008,,,,,,,
01089,2009,,,,,,,
01089,2010,,,,,,,
01089,2011,136.791666666667,,,,,0.902570498599204,
01089,2012,134.291666666667,,,,,0.920996906286039,
01089,2013,125.5,139775,,3252.08333333333,3905.75,0.934919308383647,
01089,2014,118.791666666667,144183.333333333,,3114.83333333333,3656.83333333333,0.935868801422895,
01089,2015,131.083333333333,148308.333333333,,3151.41666666667,3722.91666666667,0.946750864662912,
01089,2016,122,151741.666666667,,2760.83333333333,3302.91666666667,0.954955934673101,
01089,2017,105.5,153966.666666667,6044,2220.33333333333,2742.33333333333,0.962701074389353,
01089,2018,75.4583333333333,166716.666666667,6912,1678,2171.41666666667,0.975952802803768,
01091,2013,,,,,,,
01091,2014,,,,,,,
01091,2015,,,,,,,
01091,2016,,,,,,,
01091,2017,,,,,,,
01091,2018,,,,70.3333333333333,,,
01095,2009,,,712,,,,
01095,2010,,,848,,,,
01095,2011,,,670,,,,
01095,2012,,,984,,,,
01095,2013,,,1168,740.833333333333,862.416666666667,0.908020318696978,
01095,2014,,,1228,769.25,875.916666666667,0.919721630376674,
01095,2015,,,1290,774.75,885.333333333333,0.913997857551115,
01095,2016,,,1209,687.833333333333,794.25,0.932122167413053,
01095,2017,131.083333333333,,1400,589.583333333333,687.583333333333,0.941310130029047,
01095,2018,116.333333333333,,1505,485.333333333333,580.833333333333,0.944965601394793,
01097,1997,,67250,,,,,
01097,1998,,69441.6666666667,,,,,
01097,1999,,75191.6666666667,,,,,
01097,2000,,78308.3333333333,,,,,
01097,2001,,81883.3333333333,,,,,
01097,2002,,84150,,,,,
01097,2003,,85741.6666666667,,,,,
01097,2004,,87708.3333333333,,,,,
01097,2005,,93308.3333333333,,,,,
01097,2006,,106825,,,,,
01097,2007,,117383.333333333,,,,,
01097,2008,,119691.666666667,,,,,
01097,2009,,113741.666666667,,,,,
01097,2010,147.333333333333,105333.333333333,,,,0.895783717294365,
01097,2011,132.666666666667,94575,,,,0.894789037012057,
01097,2012,127.75,88908.3333333333,,,,0.899618629102054,
01097,2013,125.333333333333,88333.3333333333,,,2295,0.909109681889003,
01097,2014,134.541666666667,87950,,,2319.16666666667,0.916185207722653,
01097,2015,116.166666666667,92141.6666666667,,,3180.5,0.928406246345109,
01097,2016,120.5,98641.6666666667,,2435.41666666667,2927.41666666667,0.94786776569291,
01097,2017,109.166666666667,108700,,2073.91666666667,2565.66666666667,0.954786266765912,
01097,2018,89.5416666666667,115133.333333333,,1790.58333333333,2215,0.964858692817838,
01099,2009,,,0,,,,
01099,2010,,,0,,,,
01099,2011,,,1,,,,
01099,2012,,,0,,,,
01099,2013,,,0,,,,
01099,2014,,,2,,,,
01099,2015,,,4,,,,
01099,2016,,,6,,,,
01099,2017,,,5,,,,
01099,2018,,,,,,,
01101,1997,,77158.3333333333,,,,,
